<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	07:00:00	1.07016	1.07017	1.06909	1.06972	20	0	7
2023.01.02	07:15:00	1.06969	1.06979	1.06930	1.06938	15	0	7
2023.01.02	07:30:00	1.06929	1.06969	1.06929	1.06951	164	0	5
2023.01.02	07:45:00	1.06951	1.07001	1.06945	1.06967	141	0	1
2023.01.02	08:00:00	1.06971	1.06989	1.06936	1.06952	88	0	7
2023.01.02	08:15:00	1.06951	1.06960	1.06937	1.06941	166	0	7
2023.01.02	08:30:00	1.06939	1.06977	1.06938	1.06948	179	0	7
2023.01.02	08:45:00	1.06950	1.06955	1.06754	1.06935	121	0	5
2023.01.02	09:00:00	1.06916	1.06920	1.06812	1.06844	73	0	7
2023.01.02	09:15:00	1.06846	1.06868	1.06767	1.06810	86	0	7
2023.01.02	09:30:00	1.06794	1.06851	1.06793	1.06813	245	0	4
2023.01.02	09:45:00	1.06813	1.06833	1.06636	1.06791	479	0	4
2023.01.02	10:00:00	1.06791	1.06808	1.06713	1.06754	813	0	7
2023.01.02	10:15:00	1.06760	1.06773	1.06738	1.06764	333	0	0
2023.01.02	10:30:00	1.06761	1.06880	1.06748	1.06804	475	0	0
2023.01.02	10:45:00	1.06804	1.06980	1.06782	1.06788	543	0	7
2023.01.02	11:00:00	1.06789	1.07005	1.06788	1.06867	419	0	0
2023.01.02	11:15:00	1.06868	1.06869	1.06804	1.06840	1085	0	7
2023.01.02	11:30:00	1.06839	1.06848	1.06821	1.06826	226	0	4
2023.01.02	11:45:00	1.06827	1.06837	1.06769	1.06784	459	0	3
2023.01.02	12:00:00	1.06788	1.06854	1.06779	1.06846	202	0	0
2023.01.02	12:15:00	1.06846	1.06898	1.06820	1.06822	239	0	3
2023.01.02	12:30:00	1.06822	1.06872	1.06749	1.06771	174	0	1
2023.01.02	12:45:00	1.06778	1.06836	1.06763	1.06836	166	0	0
2023.01.02	13:00:00	1.06836	1.06854	1.06804	1.06848	193	0	0
2023.01.02	13:15:00	1.06848	1.06850	1.06810	1.06822	136	0	1
2023.01.02	13:30:00	1.06825	1.06858	1.06817	1.06847	106	0	0
2023.01.02	13:45:00	1.06847	1.06866	1.06814	1.06846	167	0	0
2023.01.02	14:00:00	1.06845	1.06871	1.06783	1.06860	137	0	0
2023.01.02	14:15:00	1.06865	1.06868	1.06784	1.06840	245	0	0
2023.01.02	14:30:00	1.06839	1.06870	1.06797	1.06833	273	0	0
2023.01.02	14:45:00	1.06833	1.06861	1.06803	1.06820	230	0	0
2023.01.02	15:00:00	1.06821	1.06853	1.06799	1.06824	258	0	0
2023.01.02	15:15:00	1.06824	1.06863	1.06794	1.06839	312	0	6
2023.01.02	15:30:00	1.06839	1.06851	1.06820	1.06839	197	0	0
2023.01.02	15:45:00	1.06839	1.06844	1.06777	1.06788	189	0	0
2023.01.02	16:00:00	1.06787	1.06817	1.06786	1.06812	339	0	5
2023.01.02	16:15:00	1.06812	1.06819	1.06797	1.06809	205	0	0
2023.01.02	16:30:00	1.06814	1.06817	1.06794	1.06802	154	0	0
2023.01.02	16:45:00	1.06802	1.06804	1.06703	1.06725	405	0	0
2023.01.02	17:00:00	1.06724	1.06740	1.06699	1.06727	478	0	0
2023.01.02	17:15:00	1.06726	1.06730	1.06649	1.06664	338	0	0
2023.01.02	17:30:00	1.06664	1.06686	1.06654	1.06663	445	0	0
2023.01.02	17:45:00	1.06662	1.06682	1.06585	1.06603	408	0	0
2023.01.02	18:00:00	1.06602	1.06696	1.06592	1.06688	598	0	0
2023.01.02	18:15:00	1.06687	1.06687	1.06534	1.06537	387	0	0
2023.01.02	18:30:00	1.06536	1.06559	1.06523	1.06542	257	0	0
2023.01.02	18:45:00	1.06540	1.06572	1.06510	1.06554	268	0	3
2023.01.02	19:00:00	1.06549	1.06621	1.06544	1.06595	240	0	5
2023.01.02	19:15:00	1.06594	1.06606	1.06584	1.06599	166	0	5
2023.01.02	19:30:00	1.06598	1.06610	1.06593	1.06603	184	0	7
2023.01.02	19:45:00	1.06605	1.06613	1.06592	1.06607	154	0	0
2023.01.02	20:00:00	1.06604	1.06611	1.06557	1.06564	260	0	0
2023.01.02	20:15:00	1.06564	1.06572	1.06529	1.06530	192	0	7
2023.01.02	20:30:00	1.06524	1.06546	1.06522	1.06528	186	0	5
2023.01.02	20:45:00	1.06528	1.06531	1.06522	1.06526	65	0	0
2023.01.02	21:00:00	1.06525	1.06531	1.06507	1.06521	131	0	0
2023.01.02	21:15:00	1.06523	1.06539	1.06499	1.06530	133	0	6
2023.01.02	21:30:00	1.06533	1.06536	1.06514	1.06532	117	0	7
2023.01.02	21:45:00	1.06537	1.06577	1.06525	1.06574	123	0	5
2023.01.02	22:00:00	1.06575	1.06638	1.06559	1.06587	161	0	7
2023.01.02	22:15:00	1.06606	1.06624	1.06584	1.06596	66	0	7
2023.01.02	22:30:00	1.06612	1.06672	1.06597	1.06639	123	0	7
2023.01.02	22:45:00	1.06641	1.06685	1.06639	1.06670	296	0	7
2023.01.02	23:00:00	1.06651	1.06727	1.06646	1.06685	117	0	9
2023.01.02	23:15:00	1.06683	1.06699	1.06666	1.06668	78	0	9
